United Airlines Aircraft Operating Statistics- Cost Per Block Hour (Unadjusted),,,,,,,,,,,,,,,,,,,,,,
United Airlines,,,,,,,,,,,,,,,,,,,,,,
,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Daily Utilization per Aircraft,,,,,,,,,,,,,,,,,,,,,
,Block Hours,9.28,9.4,9.59,9.78,9.95,9.85,9.22,8.96,9,9.81,10.36,10.57,10.65,9.96,10.23,10.46,10.39,10.01,10.07,9.65,9.18
,Airborne Hours,7.75,7.88,8.01,8.17,8.24,8.1,7.67,7.51,8.26,8.21,8.75,10.21,10.69,9.97,10.26,10.5,10.42,10.03,10.11,9.66,9.18
,Departures,4.83,4.76,4.81,4.77,4.71,4.57,4.21,4.01,3.78,3.97,4.04,4.17,4.21,3.97,4.11,4.04,3.82,3.49,3.44,3.31,3.37
,,,,,,,,,,,,,,,,,,,,,,
,Large Narrowbodies,"$2,654 ","$2,886 ","$3,022 ","$2,755 ","$2,684 ","$2,939 ","$3,723 ","$3,763 ","$3,493 ","$3,640 ","$3,800 ","$3,966 ","$4,334 ","$5,976 ","$4,344 ","$4,968 ","$5,886 ","$5,220 ","$5,235 ","$5,057 ","$4,126 "
,(Ex Fuel),"$2,083 ","$2,209 ","$2,363 ","$2,193 ","$2,150 ","$2,178 ","$2,846 ","$2,986 ","$2,563 ","$2,384 ","$2,006 ","$1,875 ","$2,197 ","$2,453 ","$2,597 ","$2,597 ","$2,873 ","$2,154 ","$2,384 ","$2,381 ","$2,406 "
,,,,,,,,,,,,,,,,,,,,,,
,Pilots,$651 ,$678 ,$744 ,$720 ,$733 ,$800 ,$948 ,"$1,031 ",$734 ,$653 ,$541 ,$543 ,$566 ,$600 ,$650 ,$641 ,$607 ,$619 ,$791 ,$926 ,$932 
,Salaries and Wages,$495 ,$517 ,$583 ,$539 ,$546 ,$585 ,$629 ,$654 ,$440 ,$393 ,$350 ,$353 ,$368 ,$382 ,$401 ,$409 ,$429 ,$413 ,$542 ,$621 ,$648 
,Pilot Training,$28 ,$22 ,$26 ,$20 ,$23 ,$23 ,$25 ,$26 ,$20 ,$14 ,$9 ,$7 ,$11 ,$10 ,$12 ,$8 ,$10 ,$3 ,$4 ,$19 ,$29 
,Benefits and Payroll Taxes,$92 ,$97 ,$91 ,$114 ,$114 ,$141 ,$236 ,$299 ,$235 ,$209 ,$146 ,$143 ,$143 ,$161 ,$189 ,$177 ,$125 ,$175 ,$190 ,$200 ,$205 
,Per Diem/ Personnel,$35 ,$41 ,$45 ,$46 ,$50 ,$51 ,$58 ,$52 ,$39 ,$37 ,$36 ,$40 ,$44 ,$47 ,$47 ,$46 ,$43 ,$28 ,$56 ,$86 ,$48 
,,,,,,,,,,,,,,,,,,,,,,
,Purchased Goods,$644 ,$784 ,$756 ,$650 ,$631 ,$864 ,$961 ,$873 ,"$1,021 ","$1,354 ","$1,897 ","$2,200 ","$2,236 ","$3,644 ","$1,844 ","$2,478 ","$3,124 ","$3,166 ","$2,951 ","$2,775 ","$1,836 "
,Fuel/Oil,$571 ,$677 ,$659 ,$562 ,$534 ,$761 ,$877 ,$777 ,$930 ,"$1,256 ","$1,794 ","$2,091 ","$2,137 ","$3,523 ","$1,747 ","$2,371 ","$3,013 ","$3,066 ","$2,851 ","$2,676 ","$1,719 "
,Insurance,$13 ,$11 ,$7 ,$4 ,$4 ,$5 ,$9 ,$20 ,$11 ,$6 ,$4 ,$4 ,$3 ,$2 ,$2 ,$3 ,$2 ,$9 ,$2 ,$2 ,$2 
,Other (inc. Tax),$59 ,$96 ,$90 ,$84 ,$93 ,$99 ,$75 ,$76 ,$81 ,$91 ,$99 ,$105 ,$97 ,$120 ,$95 ,$104 ,$108 ,$91 ,$98 ,$97 ,$115 
,,,,,,,,,,,,,,,,,,,,,,
,Maintenance,$532 ,$652 ,$775 ,$711 ,$739 ,$734 ,"$1,032 ","$1,117 ","$1,148 ","$1,155 ",$939 ,$834 ,"$1,108 ","$1,262 ","$1,334 ","$1,323 ","$1,578 ",$867 ,$842 ,$770 ,$815 
,Labor,$81 ,$121 ,$129 ,$126 ,$121 ,$121 ,$174 ,$216 ,$155 ,$101 ,$76 ,$84 ,$86 ,$97 ,$224 ,$391 ,$119 ,$80 ,$88 ,$84 ,$102 
,Materials,$122 ,$128 ,$175 ,$126 ,$167 ,$156 ,$204 ,$210 ,$287 ,$224 ,$126 ,$123 ,$198 ,$239 ,$270 ,$170 ,$318 ,$144 ,$117 ,$82 ,$74 
,Third Party,$52 ,$45 ,$60 ,$68 ,$70 ,$75 ,$97 ,$112 ,$122 ,$394 ,$475 ,$313 ,$460 ,$528 ,$384 ,$350 ,$629 ,$375 ,$406 ,$368 ,$406 
