United Airlines Aircraft Operating Statistics- Cost Per Block Hour (Unadjusted),,,,,,,,,,,,,,,,,,,,,,
United Airlines,,,,,,,,,,,,,,,,,,,,,,
,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Other,$7 ,$7 ,$13 ,$14 ,$6 ,$0 ,($26),$9 ,($18),($9),$22 ,$5 ,$9 ,$10 ,$3 ,$83 ,$352 ,$329 ,$423 ,$412 ,$440 
,,,,,,,,,,,,,,,,,,,,,,
,Indicies,,,,,,,,,,,,,,,,,,,,,
,Aircraft In Fleet,553,561,569,573,587,601,597,556,551,519,462,460,453,445,382,360,358,697,698,697,708
,Seats Per Departure,194,194,195,195,192,190,188,187,181,183,186,186,188,190,195,197,198,187,187,189,192
,Average Stage Length,"1,046","1,068","1,088","1,115","1,121","1,145","1,181","1,224","1,255","1,293","1,368","1,364","1,371","1,402","1,446","1,541","1,614","1,661","1,702","1,720","1,684"
,Gallons of Fuel Per Block Hour,"1,394","1,387","1,382","1,372","1,339","1,338","1,301","1,264","1,059","1,204","1,238","1,223","1,237","1,241","1,289","1,339","1,344","1,191","1,202","1,199","1,193"
,Load Factor,70.50%,71.70%,71.80%,71.60%,71.00%,72.30%,70.80%,73.50%,76.40%,79.30%,81.50%,82.10%,82.70%,81.00%,81.90%,84.10%,83.70%,82.90%,83.80%,83.60%,83.50%
,,,,,,,,,,,,,,,,,,,,,,
,Daily Utilization per Aircraft,,,,,,,,,,,,,,,,,,,,,
,Block Hours ,10.04,10.13,10.32,10.55,10.68,10.53,9.95,9.58,9.18,10.31,10.86,11.15,11.17,10.72,10.79,11.01,10.71,10.65,10.46,10.42,10.39
,Airborne Hours,8.73,8.81,8.98,9.17,9.21,9.04,8.62,8.33,8.25,8.7,9.43,10.86,11.2,10.74,10.83,11.01,10.75,10.66,10.47,10.43,10.4
,Departures,3.87,3.83,3.84,3.84,3.83,3.67,3.41,3.2,2.99,3.24,3.26,3.36,3.33,3.14,3.12,3.05,2.85,2.73,2.63,2.59,2.63
,,,,,,,,,,,,,,,,,,,,,,
,Note: Shaded data means data appear questionable.,,,,,,,,,,,,,,,,,,,,,
